時間,じかん,time
ギター,ぼだー,guitar
バイオリン,ばいおりん,violin
音楽を聴く,おんがくをきく,to listen to music
聴く,きく,"to listen (music, etc.)"
ジャズ,じゃず,jazz
ロック,ろっく,rock
ポップス,ぽっぷす,pops (pop music)
クラシック,くらしっく,classic
コンサート,こんさーと,concert
ライブ,らいぶ,live concert
美術館,びじゅつかん,art museum
博物館,はくぶつかん,museum
本,ほん,book
映画,えいが,"films, movies"
読書,どくしょ,reading
小説,しょうせつ,novel
雑誌,ざっし,magazine
漫画,まんが,"manga, comic"
アニメ,あにめ,animation
旅行,りょこう,travel
活動,かつどう,activities
旅館に泊まる,りょかんにとまる,to stay at a Japanese-style inn
旅館,りょかん,Japanese-stlye inn
泊まる,とまる,to stay
温泉,おんせん,"hot spring, spa"
観光(をする),かんこう(をする),"sightseeing, tourism"
見物(をする),けんぶつ(をする),sightseeing
クラブ,くらっぶ,club
サークル,さーくる,"circle, club"
コンクールに出場する,こんくーるにしゅつじょうする,to participate in a contest
コンクール,こんくーる,contest
出場する,しゅつじょうする,participate
ボランティア,ぼらんてぃあ,volunteer
料理,りょうり,cooking
お洒落(おしゃれ),おしゃれ,"fashion, style"
ペットを飼う,ぺっとをかう,to keep a pet
ペット,ぺっと,pet
飼う,かう,"raise, feed, to own (a pet)"
作品,さくひん,"(art, literary, etc.) work"
プロ,ぷろ,pro
アマチュア,あまちゅあ,amateur
選手,せんしゅ,"athlete, player"
チーム,ちーむ,team
応援する,おうえんする,to cheer for
ファン,ふぁん,fan
郵便,ゆうびん,mail
宅配,たくはい,home delivery
手紙,てがみ,letter
葉書,はがき,postcard
葉書を出す,はがきをだす,to mail a postcard
80円切手を貼る,80えんきってをはる,affix an 80-yen stamp
切手,きって,stamp
貼る,はる,"affix, stick"
封筒に入れる,ふうとうにいれる,put in an envelope
返信用封筒,へんしんようふうとう,self-addressed stamped envelope
写真を同封する,しゃしんをどうふうする,enclose photos
同封する,どうふうする,to enclose
年賀状,ねんがじょう,New Year's greeting card
便箋(びんせん),びんせん,stationery
～を記入する,～をきにゅうする,filling out
宛先(あてさき),あてさき,"destination, (receiving) address"
お届け先,おとどけさき,"destination, (receiving) address"
郵便番号,ゆうびんばんごう,postal code
住所,じゅうしょ,address
氏名,しめい,name
用紙に記入する,ようしにきにゅうする,to fill out a form
方法,ほうほう,"way, method"
普通郵便,ふつうゆうびん,regular mail
速達,そくたつ,special delivery
書留,かきとめ,registered mail
航空便,こうくうびん,airmail
船便,ふなびん,"sea mail, surface mail"
配達する,はいたつする,delivery
届く,とどく,delivery
荷物を配達する,にもつをはいたつする,to deliver a package
荷物を届ける,にもつをとどける,to deliver a package
荷物が届く,にもつがとどく,a package is delivered
荷物が着く,にもつがつく,a package arrived
荷物を受け取る,にもつをうけとる,to receive a package
受け取る,うけとる,"to receive, to get"
判子を押す,はんこをおす,to stamp one's mail
押す,おす,"stamp, press"
サインをする,さいんをする,to sign
便り,たより,news/a letter
便りがある,たよりがある,to receive a news/a letter
返事を書く,へんじをかく,to write a reply
返事,へんじ,reply
送料が掛かる(かかる),そうりょうがかかる,to incur a shipping fee
送料,そうりょう,shipping fee
小包,こづつみ,package
電報,でんぽう,telegram
人生,じんせい,life
誕生,たんじょう,birth
成長,せいちょう,growth
生まれる,うまれる,to be born
